FirstName,LastName,DateofBirth,Phone,Race,Sex,Party,RegistrationAddress,Precinct
Linnie,Ricotta,1945-0-0,123-000-000,White (not Hispanic),MALE,Other,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Junko,Pardini,1949-0-0,123-000-000,Hispanic,FEMALE,Democratic,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Elijah,Bounds,1946-0-0,123-000-000,Black (not Hispanic),MALE,None,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Gonzalo,Wirta,1944-0-0,123-000-000,Hispanic,MALE,Other,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Janine,Manahan,1970-0-0,123-000-000,Hispanic,MALE,Democratic,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Arden,Orcutt,1973-0-0,123-000-000,Hispanic,FEMALE,Republican,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Leena,Ruis,1941-0-0,123-000-000,Hispanic,FEMALE,Democratic,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Cari,Gokey,1938-0-0,123-000-000,Hispanic,MALE,Republican,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Samual,Wareham,1977-0-0,123-000-000,Black (not Hispanic),FEMALE,Republican,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Sherley,Kleeman,1928-0-0,123-000-000,White (not Hispanic),FEMALE,Republican,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Janina,Won,1949-0-0,123-000-000,Hispanic,FEMALE,Democratic,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Geneva,Armond,1943-0-0,123-000-000,Black (not Hispanic),FEMALE,Republican,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Delmar,Roye,1963-0-0,123-000-000,White (not Hispanic),FEMALE,Democratic,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Krista,Stehlik,1981-0-0,123-000-000,Hispanic,FEMALE,Democratic,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Loriann,Duarte,1946-0-0,123-000-000,Hispanic,FEMALE,Democratic,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Verona,Morones,1934-0-0,123-000-000,Hispanic,MALE,Republican,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Katerine,Polinsky,1987-0-0,123-000-000,Hispanic,MALE,Republican,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
Terrilyn,Efird,1943-0-0,123-000-000,White (not Hispanic),MALE,Democratic,"4200 Quantico St.,Arlington,VA,22201",vspub-precinct-split-1
