LastName,DateofBirth,Phone,Race,Sex,Party,RegistrationAddress,Precinct
Ricotta,1945-0-0,123-000-000,White (not Hispanic),MALE,Democratic,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Pardini,1949-0-0,123-000-000,Hispanic,FEMALE,Democratic,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Bounds,1946-0-0,123-000-000,Black (not Hispanic),MALE,None,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Wirta,1944-0-0,123-000-000,Hispanic,MALE,Other,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Manahan,1970-0-0,123-000-000,Hispanic,MALE,Democratic,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Orcutt,1973-0-0,123-000-000,Hispanic,FEMALE,Republican,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Ruis,1941-0-0,123-000-000,Hispanic,FEMALE,Democratic,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Gokey,1938-0-0,123-000-000,Hispanic,MALE,Republican,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Wareham,1977-0-0,123-000-000,Black (not Hispanic),FEMALE,Republican,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Kleeman,1928-0-0,123-000-000,White (not Hispanic),FEMALE,Republican,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Won,1949-0-0,123-000-000,Hispanic,FEMALE,Democratic,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Armond,1943-0-0,123-000-000,Black (not Hispanic),FEMALE,Republican,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Roye,1963-0-0,123-000-000,White (not Hispanic),FEMALE,Democratic,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Stehlik,1981-0-0,123-000-000,Hispanic,FEMALE,Democratic,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Duarte,1946-0-0,123-000-000,Hispanic,FEMALE,Democratic,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Morones,1934-0-0,123-000-000,Hispanic,MALE,Republican,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Polinsky,1987-0-0,123-000-000,Hispanic,MALE,Republican,"Unknown,Austin,TX,78709",vspub-precinct-split-1
Efird,1943-0-0,123-000-000,White (not Hispanic),MALE,Democratic,"Unknown,Austin,TX,78709",vspub-precinct-split-1
